CIRCUITO,n_vanos_geo,longitud_geom_km,municipios,n_transformadores_geo,capacidad_transformadores_kva,transformadores_energizados,n_interruptores_geo,tipos_interruptor,interruptores_energizados
SIO23L13,114,26.784802586498405,"['APIA', 'SANTUARIO']",46.0,683.0,46.0,28,"['1CC', '2CC', '2OS', '2RL', '3CC', '3CFR', '3OS', '3RG']",28
MNA23L13,200,26.187971528140455,"['MANIZALES', 'PALESTINA']",66.0,2334.5,66.0,47,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",47
VBO23L12,383,25.59309172214213,"['SAN JOSE', 'VITERBO']",121.0,7473.0,121.0,45,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",44
MTT23L12,116,25.42263914689848,"['BELEN DE UMBRIA', 'GUATICA', 'MISTRATO']",45.0,1053.0,45.0,24,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",24
MGT23L13,149,24.508570302197377,['ANSERMA'],36.0,793.0,36.0,23,"['1CC', '2CC', '3CC', '3OS', '3RG', '3RL']",23
CHA23L18,448,24.13698999318024,"['CHINCHINA', 'SANTA ROSA DE CABAL']",216.0,11286.0,216.0,56,"['2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",56
MTT23L13,142,23.908532207792454,"['BELEN DE UMBRIA', 'MISTRATO']",64.0,1813.5,64.0,24,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",24
ENE23L13,420,23.432390629226244,"['MANIZALES', 'VILLAMARIA']",164.0,13351.0,164.0,73,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",73
MTT23L14,97,23.364319554307485,['MISTRATO'],32.0,638.0,32.0,22,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",22
AGU23L17,104,22.359255745089477,['AGUADAS'],40.0,638.5,40.0,20,"['1CC', '2CC', '3CC', '3OS', '3RG', '3RL']",20
CAM23L14,280,22.159662935761542,"['DOSQUEBRADAS', 'PEREIRA']",122.0,8330.5,122.0,38,"['2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",38
VCT23L12,186,21.80235026007006,"['SAN SEBASTIAN DE MARIQUITA', 'VICTORIA']",57.0,1710.5,57.0,27,"['1CC', '1CFR', '2CC', '2CFR', '2CR', '3CC', '3CFR', '3IG', '3OS']",27
ENE23L12,309,21.58759193813459,"['MANIZALES', 'VILLAMARIA']",128.0,11510.5,128.0,60,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",59
PSV23L15,106,21.484042826926327,['PENSILVANIA'],36.0,1105.0,36.0,30,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",30
SUP23L15,143,21.350621279023077,"['RIOSUCIO', 'SUPIA']",49.0,1482.5,49.0,30,"['1CC', '2CC', '3CC', '3CFR', '3OS', '3RG']",30
BQE23L12,286,20.750478793755956,['DOSQUEBRADAS'],131.0,7498.5,131.0,35,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",33
DDO23L12,150,20.202117464191378,"['CARAMANTA', 'MARMATO', 'PACORA']",65.0,4373.0,65.0,43,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",43
CHA23L13,227,18.426560521627177,"['CHINCHINA', 'PALESTINA']",83.0,3943.0,83.0,37,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",37
ENE23L16,230,18.242335423086736,"['MANIZALES', 'VILLAMARIA']",90.0,4379.5,90.0,43,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",43
HER23L14,266,18.03856949883867,"['DOSQUEBRADAS', 'SANTA ROSA DE CABAL']",112.0,5543.5,112.0,40,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",40
AZA23L15,302,17.976099514942167,['MANIZALES'],128.0,8053.0,128.0,43,"['1CC', '1CFR', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",43
MAN23L13,280,17.94471086653627,['MANIZALES'],116.0,5960.5,116.0,46,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OC', '3OS', '3RL']",46
HER23L15,334,16.225535121315474,['SANTA ROSA DE CABAL'],141.0,8397.5,141.0,41,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",41
AZA23L13,531,16.14315887640842,['MANIZALES'],222.0,17255.5,222.0,80,"['1CC', '2CC', '3CC', '3CR', '3IG', '3IS6', '3OS', '3RL']",80
COL23L13,79,15.956764448629366,['PACORA'],29.0,488.5,29.0,16,"['1CC', '2CC', '3CC', '3OS', '3RG', '3RL']",16
AZA23L17,279,15.862424498950833,"['MANIZALES', 'VILLAMARIA']",105.0,8535.5,105.0,44,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",44
RIO23L12,287,15.799501490434219,['RIOSUCIO'],114.0,5500.5,114.0,35,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",35
HER23L13,266,15.70252141594071,['SANTA ROSA DE CABAL'],75.0,4966.0,75.0,25,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",25
MOL23L14,282,15.418576048878633,['DOSQUEBRADAS'],99.0,6985.5,99.0,37,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",37
AZA23L19,315,15.368576733574631,['MANIZALES'],173.0,10128.5,173.0,50,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",50
CHA23L17,300,14.85718550191864,"['CHINCHINA', 'MANIZALES']",124.0,9570.5,124.0,39,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",39
ROS23L16,374,14.550478626869495,['DOSQUEBRADAS'],174.0,12191.5,174.0,46,"['2CC', '2CR', '3CC', '3CR', '3IG', '3OS', '3RL']",46
BEO23L12,115,14.479382088720422,"['GUADUAS', 'LA DORADA']",21.0,438.0,21.0,12,"['1CC', '2CC', '3CC', '3RG']",12
MOL23L13,230,14.173853481142828,['DOSQUEBRADAS'],76.0,5208.5,76.0,25,"['1CFR', '2CC', '3CC', '3IG', '3OS', '3RL']",25
DON23L12,296,14.029797791865404,['LA DORADA'],118.0,7320.0,118.0,41,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",41
AZA23L16,445,13.6351648131851,['MANIZALES'],241.0,13825.5,241.0,74,"['1CC', '2CC', '2CR', '3CC', '3CR', '3IG', '3OS', '3RL']",74
AZA23L18,312,13.156401614076362,"['MANIZALES', 'VILLAMARIA']",130.0,8106.5,130.0,33,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",33
